Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2025,95,Petróleo,21223.08287292818,,,,,,,,,
2025,131,Petróleo,531.5911602209944,,,,,,,,,
2025,Z-69,LGN,689.1767955801105,,,,,,,,,
2025,31-C,LGN,24.38121546961326,,,,,,,,,
2025,88,LGN,46615.4364640884,,,,,,,,,
2025,57,LGN,14135.06629834254,,,,,,,,,
2025,56,LGN,9873.038674033149,,,,,,,,,
2025,I,Gas,2.429683809944752,,,,,,,,,
2025,II,Gas,1.127378376243094,,,,,,,,,
2025,III,Gas,2.292742701657458,,,,,,,,,
2025,IV,Gas,3.091749033701658,,,,,,,,,
2025,VII/VI,Gas,0.0,,,,,,,,,
2025,VI,Gas,2.935353255801104,,,,,,,,,
2025,X,Gas,12.08666298342541,,,,,,,,,
2025,XIII,Gas,25.8578901878453,,,,,,,,,
2025,Z-69,Gas,8.248463341436462,,,,,,,,,
2025,88,Gas,732.3215022574586,,,,,,,,,
2025,56,Gas,251.3266851342541,,,,,,,,,
2025,57,Gas,229.2251118292818,,,,,,,,,
2025,31-C,Gas,3.108784108287292,,,,,,,,,
2021,8,,,,0.0,0.0,,,,,,
2022,8,,,,0.0,0.0,,,,,,
2023,8,,,,0.0,0.0,,,,,,
2024,8,,,,0.42211454,0.47022494,,,,,,
2025,8,,,,4.84700474,3.86974435,,,,,,
2021,56,,,,450.807198969999,226.54962472,,,,,,
2022,56,,,,695.48390933,339.2406331699999,,,,,,
2023,56,,,,304.46400276,156.117920009999,,,,,,
2024,56,,,,257.05929904,129.13762349,,,,,,
2025,56,,,,129.73913018,44.68389915,,,,,,
2021,57,,,,43.21996684,20.60124467999999,,,,,,
2022,57,,,,85.65450627,43.9610406,,,,,,
2023,57,,,,47.31452988000001,28.60128722,,,,,,
2024,57,,,,56.36749809999999,27.55410472,,,,,,
2025,57,,,,33.42641986,12.51385595,,,,,,
2021,67,,,0.0,3.5564111,3.69949306,,,,,,
2022,67,,,0.0,4.24300951999999,4.41400814,,,,,,
2023,67,,,0.0,0.14443881,0.146528109999999,,,,,,
2024,67,,,0.0,0.0,-0.00122129,,,,,,
2025,67,,,0.0,0.0,0.0,,,,,,
2021,88,,,,565.05505349,283.370385769999,,,,,,
2022,88,,,,742.054629499999,370.078782479999,,,,,,
2023,88,,,,595.45864738,302.5484930800001,,,,,,
2024,88,,,,619.46576845,310.5473808699991,,,,,,
2025,88,,,,286.63202136,96.25655572999999,,,,,,
2021,95,,,,10.2522614299999,33.40965921,,,,,,
2022,95,,,,22.8618099799999,65.07926855999979,,,,,,
2023,95,,,,21.29164948,58.90184623,,,,,,
2024,95,,,,27.34274478,71.9571111,,,,,,
2025,95,,,,15.10942449,26.94978401,,,,,,
2021,131,,,,7.38543376,4.710133320000001,,,,,,
2022,131,,,,9.54705969999999,6.085017980000001,,,,,,
2023,131,,,,5.339542649999999,3.40454278,,,,,,
2024,131,,,,4.55421155,2.90201559,,,,,,
2025,131,,,,1.358711,0.6500714599999999,,,,,,
2021,192,,,0.0,6.96408921,1.02702324,,,,,,
2022,192,,,0.0,0.0,0.0,,,,,,
2023,192,,,10.99431421,0.0,0.0,,,,,,
2024,192,,,11.62998458,0.0,0.0,,,,,,
2025,192,,,2.53087255,0.0,0.0,,,,,,
2021, I,,,,3.413110840000001,,,,,,,
2022, I,,,,3.87279499,,,,,,,
2023, I,,,,3.43692661,,,,,,,
2024, I,,,,3.97790834,,,,,,,
2025, I,,,,1.75235171,,,,,,,
2021, II ,,,,4.36206197,,,,,,,
2022, II ,,,,6.4935594,,,,,,,
2023, II ,,,,4.94870831,,,,,,,
2024, II ,,,,4.9041351,,,,,,,
2025, II ,,,,1.88679784,,,,,,,
2021, III ,,,,5.717731730000001,,,,,,,
2022, III ,,,,10.29335877,,,,,,,
2023, III ,,,,23.32498094,,,,,,,
2024, III ,,,,23.54231066,,,,,,,
2025, III ,,,,12.28493914,,,,,,,
2021, IV ,,,,21.6533929999999,,,,,,,
2022, IV ,,,,40.01657121,,,,,,,
2023, IV ,,,,36.29637312000001,,,,,,,
2024, IV ,,,,36.90284803,,,,,,,
2025, IV ,,,,18.50965536,,,,,,,
2021, IX,,,,1.48202103,,,,,,,
